brewery_id,name,type,abv,ibu,rating,rating_count
40,Saison (Batch 001),Farmhouse Ale - Saison,6.4,,4.02,1888
40,Taming the Savage Heart,Sour - Other,6.3,,4.17,1643
40,Saison (Batch 003),Farmhouse Ale - Saison,6.4,28.0,4.09,834
40,Casino Night IPA,IPA - American,7.0,,3.92,360
40,Saison (Batch 002),Farmhouse Ale - Saison,6.4,,4.16,363
41,Tahitian Dreamin',IPA - American,6.93,,3.92,1685
41,Where’s My Flannel?,Extra Special / Strong Bitter,4.5,,3.68,720
41,Evergreen Terrace,IPA - American,7.08,,3.83,661
41,To the Cloud!,IPA - American,7.08,,4.01,613
41,Jam Session,Sour - Fruited,5.59,,4.0,604
42,Marco IPA,IPA - American,7.0,65.0,3.72,9277
42,Coffee Milk Stout,Stout - Milk / Sweet,5.8,25.0,3.9,7165
42,Parks & Rec,Pale Ale - American,5.6,40.0,3.6,4450
42,Heavenly Daze,IPA - American,6.8,30.0,3.87,3919
42,Honey Blonde,Blonde Ale,4.5,,3.45,2639
43,Julie,Belgian Tripel,8.14,28.0,3.86,198
43,Bettie,Belgian Dubbel,8.14,20.0,3.92,135
43,Negro Sombrero,Lager - Vienna,5.5,,3.69,122
43,Hefe,Hefeweizen,4.0,,3.73,101
43,Blurred Fox,IPA - New England,7.8,38.0,3.76,93
44,Homunculus,English Mild Ale,3.5,21.0,3.68,411
44,Gaspipes,English Bitter,3.9,36.0,3.73,312
44,Mina,Pale Ale - American,5.5,50.0,3.72,299
44,Bellibone,Blonde Ale,5.2,22.0,3.64,296
44,Pesta,Stout - Oatmeal,4.4,31.0,3.69,235
45,West Coast IPA,IPA - American,6.5,,3.75,100
45,Prickly Pear Milkshake IPA,IPA - Milkshake,6.0,75.0,3.74,75
45,Pale Ale,Pale Ale - American,5.0,,3.6,75
45,Amber Ale,Red Ale - American Amber / Red,5.0,,3.8,70
45,Mexican Lager,Lager - Pale,4.2,,3.58,49
46,Cosmic Cowboy,IPA - American,7.0,69.0,3.67,1589
46,The Grackle,Stout - Imperial / Double,8.9,45.0,3.83,1276
